# ----------------------------------------
# CRS UK - GA4
# Free-form-Free-form 1
# 20250627-20250924
# ----------------------------------------

,,,,Device category,mobile,desktop,tablet,Totals
Date,Landing page,Country,Event name,Session default channel group,Active users,Active users,Active users,Active users
,,,,,4264,4280,89,8727,Grand total
20250721,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,99,5,6,110
20250721,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,98,5,6,109
20250721,/cold-rooms-lp,United Kingdom,page_view,Paid Search,98,5,6,109
20250721,/cold-rooms-lp,United Kingdom,session_start,Paid Search,98,5,6,109
20250722,/cold-rooms-lp,United Kingdom,page_view,Paid Search,54,7,3,64
20250722,/cold-rooms-lp,United Kingdom,session_start,Paid Search,54,7,3,64
20250722,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,54,7,3,64
20250723,/cold-rooms-lp,United Kingdom,page_view,Paid Search,50,10,2,62
20250723,/cold-rooms-lp,United Kingdom,session_start,Paid Search,50,10,2,62
20250723,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,51,9,2,62
20250723,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,50,9,2,61
20250722,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,52,4,3,59
20250721,/cold-rooms-lp,United Kingdom,scroll,Paid Search,48,2,3,53
20250724,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,45,8,0,53
20250724,/cold-rooms-lp,United Kingdom,page_view,Paid Search,45,8,0,53
20250724,/cold-rooms-lp,United Kingdom,session_start,Paid Search,45,8,0,53
20250724,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,45,8,0,53
20250718,/cold-rooms-lp,United Kingdom,page_view,Paid Search,41,9,2,52
20250718,/cold-rooms-lp,United Kingdom,session_start,Paid Search,41,9,2,52
20250718,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,40,9,2,51
20250718,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,41,8,2,51
20250717,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,34,8,1,43
20250717,/cold-rooms-lp,United Kingdom,page_view,Paid Search,34,8,1,43
20250717,/cold-rooms-lp,United Kingdom,session_start,Paid Search,34,8,1,43
20250717,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,34,8,1,43
20250917,/,United States,first_visit,Direct,0,38,0,38
20250917,/,United States,page_view,Direct,0,38,0,38
20250917,/,United States,session_start,Direct,0,38,0,38
20250720,/cold-rooms-lp,United Kingdom,page_view,Paid Search,33,2,2,37
20250720,/cold-rooms-lp,United Kingdom,session_start,Paid Search,33,2,2,37
20250720,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,33,2,2,37
20250720,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,32,2,2,36
20250918,/,United States,first_visit,Direct,0,35,0,35
20250918,/,United States,page_view,Direct,0,35,0,35
20250918,/,United States,session_start,Direct,0,35,0,35
20250804,/cold-rooms-lp,United Kingdom,page_view,Paid Search,27,6,0,33
20250804,/cold-rooms-lp,United Kingdom,session_start,Paid Search,27,6,0,33
20250804,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,27,6,0,33
20250723,/cold-rooms-lp,United Kingdom,scroll,Paid Search,25,7,0,32
20250724,/cold-rooms-lp,United Kingdom,scroll,Paid Search,30,2,0,32
20250730,/cold-rooms-lp,United Kingdom,page_view,Paid Search,21,10,0,31
20250730,/cold-rooms-lp,United Kingdom,session_start,Paid Search,21,10,0,31
20250730,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,21,10,0,31
20250804,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,26,5,0,31
20250722,/cold-rooms-lp,United Kingdom,scroll,Paid Search,26,3,1,30
20250730,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,21,9,0,30
20250815,/cold-rooms-lp,United Kingdom,page_view,Paid Search,18,11,0,29
20250815,/cold-rooms-lp,United Kingdom,session_start,Paid Search,18,11,0,29
20250815,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,18,11,0,29
20250815,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,17,11,0,28
20250718,/cold-rooms-lp,United Kingdom,scroll,Paid Search,24,2,1,27
20250719,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,26,0,0,26
20250719,/cold-rooms-lp,United Kingdom,page_view,Paid Search,26,0,0,26
20250719,/cold-rooms-lp,United Kingdom,session_start,Paid Search,26,0,0,26
20250719,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,26,0,0,26
20250729,/cold-rooms-lp,United Kingdom,page_view,Paid Search,20,5,0,25
20250729,/cold-rooms-lp,United Kingdom,session_start,Paid Search,20,5,0,25
20250729,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,20,5,0,25
20250818,/cold-rooms-lp,United Kingdom,page_view,Paid Search,19,6,0,25
20250818,/cold-rooms-lp,United Kingdom,session_start,Paid Search,19,6,0,25
20250818,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,19,6,0,25
20250820,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,13,0,25
20250820,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,13,0,25
20250820,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,13,0,25
20250714,/cold-rooms-lp,United Kingdom,page_view,Paid Search,14,10,0,24
20250714,/cold-rooms-lp,United Kingdom,session_start,Paid Search,14,10,0,24
20250714,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,14,10,0,24
20250729,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,20,4,0,24
20250814,/cold-rooms-lp,United Kingdom,page_view,Paid Search,16,8,0,24
20250814,/cold-rooms-lp,United Kingdom,session_start,Paid Search,16,8,0,24
20250814,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,16,8,0,24
20250818,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,18,6,0,24
20250708,/cold-rooms-lp,United Kingdom,page_view,Paid Search,13,10,0,23
20250708,/cold-rooms-lp,United Kingdom,session_start,Paid Search,13,10,0,23
20250708,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,13,10,0,23
20250731,/cold-rooms-lp,United Kingdom,page_view,Paid Search,14,9,0,23
20250731,/cold-rooms-lp,United Kingdom,session_start,Paid Search,14,9,0,23
20250813,/cold-rooms-lp,United Kingdom,page_view,Paid Search,15,8,0,23
20250813,/cold-rooms-lp,United Kingdom,session_start,Paid Search,15,8,0,23
20250813,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,15,8,0,23
20250814,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,15,8,0,23
20250820,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,12,0,23
20250708,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,10,0,22
20250714,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,13,9,0,22
20250731,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,13,9,0,22
20250801,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,10,0,22
20250801,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,10,0,22
20250813,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,14,8,0,22
20250716,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,10,0,21
20250716,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,10,0,21
20250801,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,9,0,21
20250827,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,9,0,21
20250827,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,9,0,21
20250703,/refrigerated-units-lp,United Kingdom,page_view,Paid Search,16,4,0,20
20250703,/refrigerated-units-lp,United Kingdom,session_start,Paid Search,16,4,0,20
20250712,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,19,1,0,20
20250712,/cold-rooms-lp,United Kingdom,page_view,Paid Search,19,1,0,20
20250712,/cold-rooms-lp,United Kingdom,session_start,Paid Search,19,1,0,20
20250712,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,19,1,0,20
20250716,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,9,0,20
20250716,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,11,9,0,20
20250801,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,8,0,20
20250807,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,17,3,0,20
20250811,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,13,7,0,20
20250811,/cold-rooms-lp,United Kingdom,page_view,Paid Search,13,7,0,20
20250811,/cold-rooms-lp,United Kingdom,session_start,Paid Search,13,7,0,20
20250811,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,13,7,0,20
20250827,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,8,0,20
20250827,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,8,0,20
20250918,/cold-rooms-lp,United Kingdom,page_view,Paid Search,14,5,1,20
20250918,/cold-rooms-lp,United Kingdom,session_start,Paid Search,14,5,1,20
20250703,/refrigerated-units-lp,United Kingdom,first_visit,Paid Search,16,3,0,19
20250703,/refrigerated-units-lp,United Kingdom,user_engagement,Paid Search,16,3,0,19
20250707,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,7,0,19
20250707,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,7,0,19
20250707,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,7,0,19
20250720,/cold-rooms-lp,United Kingdom,scroll,Paid Search,18,0,1,19
20250731,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,8,0,19
20250805,/cold-rooms-lp,United Kingdom,page_view,Paid Search,7,12,0,19
20250805,/cold-rooms-lp,United Kingdom,session_start,Paid Search,7,12,0,19
20250805,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,7,12,0,19
20250807,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,16,3,0,19
20250807,/cold-rooms-lp,United Kingdom,page_view,Paid Search,16,3,0,19
20250807,/cold-rooms-lp,United Kingdom,session_start,Paid Search,16,3,0,19
20250828,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,14,5,0,19
20250828,/cold-rooms-lp,United Kingdom,page_view,Paid Search,14,5,0,19
20250828,/cold-rooms-lp,United Kingdom,session_start,Paid Search,14,5,0,19
20250828,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,14,5,0,19
20250908,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,8,0,19
20250908,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,8,0,19
20250908,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,11,8,0,19
20250909,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,8,1,19
20250909,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,8,1,19
20250909,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,8,1,19
20250918,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,14,4,1,19
20250701,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,13,5,0,18
20250701,/cold-rooms-lp,United Kingdom,page_view,Paid Search,13,5,0,18
20250701,/cold-rooms-lp,United Kingdom,session_start,Paid Search,13,5,0,18
20250721,/cold-rooms-lp,United Kingdom,click,Paid Search,15,2,1,18
20250909,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,8,1,18
20250916,/cold-rooms-lp,United Kingdom,page_view,Paid Search,13,5,0,18
20250916,/cold-rooms-lp,United Kingdom,session_start,Paid Search,13,5,0,18
20250916,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,13,5,0,18
20250917,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,5,1,18
20250917,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,5,1,18
20250917,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,5,1,18
20250922,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,6,0,18
20250922,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,6,0,18
20250922,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,6,0,18
20250701,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,13,4,0,17
20250707,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,7,0,17
20250710,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,13,4,0,17
20250710,/cold-rooms-lp,United Kingdom,page_view,Paid Search,13,4,0,17
20250710,/cold-rooms-lp,United Kingdom,session_start,Paid Search,13,4,0,17
20250710,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,13,4,0,17
20250711,/cold-rooms-lp,United Kingdom,page_view,Paid Search,9,8,0,17
20250711,/cold-rooms-lp,United Kingdom,session_start,Paid Search,9,8,0,17
20250711,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,9,8,0,17
20250805,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,6,11,0,17
20250822,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,7,0,17
20250822,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,7,0,17
20250822,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,7,0,17
20250822,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,7,0,17
20250826,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,7,0,17
20250826,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,7,0,17
20250826,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,7,0,17
20250826,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,7,0,17
20250902,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,13,4,0,17
20250902,/cold-rooms-lp,United Kingdom,page_view,Paid Search,13,4,0,17
20250902,/cold-rooms-lp,United Kingdom,session_start,Paid Search,13,4,0,17
20250902,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,13,4,0,17
20250908,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,6,0,17
20250916,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,5,0,17
20250918,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,4,1,17
20250922,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,6,0,17
20250703,/refrigerated-units-lp,United Kingdom,scroll,Paid Search,15,1,0,16
20250728,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,10,6,0,16
20250728,/cold-rooms-lp,United Kingdom,page_view,Paid Search,10,6,0,16
20250728,/cold-rooms-lp,United Kingdom,session_start,Paid Search,10,6,0,16
20250728,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,10,6,0,16
20250806,/cold-rooms-lp,United Kingdom,page_view,Paid Search,11,4,1,16
20250806,/cold-rooms-lp,United Kingdom,session_start,Paid Search,11,4,1,16
20250806,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,11,4,1,16
20250812,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,9,7,0,16
20250812,/cold-rooms-lp,United Kingdom,page_view,Paid Search,9,7,0,16
20250812,/cold-rooms-lp,United Kingdom,session_start,Paid Search,9,7,0,16
20250812,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,9,7,0,16
20250821,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,12,3,1,16
20250821,/cold-rooms-lp,United Kingdom,page_view,Paid Search,12,3,1,16
20250821,/cold-rooms-lp,United Kingdom,session_start,Paid Search,12,3,1,16
20250821,/cold-rooms-lp,United Kingdom,user_engagement,Paid Search,12,3,1,16
20250917,/cold-rooms-lp,United Kingdom,first_visit,Paid Search,11,4,1,16
20250627,/refrigerated-units-lp,United Kingdom,first_visit,Paid Search,15,0,0,15
20250627,/refrigerated-units-lp,United Kingdom,page_view,Paid Search,15,0,0,15
20250627,/refrigerated-units-lp,United Kingdom,session_start,Paid Search,15,0,0,15
20250627,/refrigerated-units-lp,United Kingdom,user_engagement,Paid Search,15,0,0,15
20250715,/cold-rooms-lp,United Kingdom,page_view,Paid Search,8,7,0,15
