date,landing_page,channel_group,country,active_users_total,active_users_mobile,active_users_desktop,active_users_tablet
2025-06-27,(not set),Paid Search,United Kingdom,2,1,1,0
2025-06-27,/,Direct,Germany,1,0,1,0
2025-06-27,/,Direct,India,1,0,1,0
2025-06-27,/,Direct,United Kingdom,6,1,5,0
2025-06-27,/,Direct,United States,2,0,2,0
2025-06-27,/,Organic Search,Germany,1,0,1,0
2025-06-27,/,Organic Search,United Kingdom,4,1,3,0
2025-06-27,/,Organic Search,United States,1,0,1,0
2025-06-27,/about/what-crs-does.html,Direct,India,1,1,0,0
2025-06-27,/about/what-crs-does.html,Direct,United Kingdom,1,0,1,0
2025-06-27,/archive/coldkit-matrix-coldrooms.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/archive/hospital-fridges.html,Organic Search,South Africa,1,0,1,0
2025-06-27,/blast-freezer/40ftblastfreezer.html,Organic Search,New Zealand,1,0,1,0
2025-06-27,/blast-freezer/40ftblastfreezer.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/blastfreezer/warehouse/slough.html,Referral,United Kingdom,1,0,1,0
2025-06-27,/brakes-video,Organic Video,Ireland,2,1,1,0
2025-06-27,/brands/carrier.html,Organic Search,United Kingdom,2,2,0,0
2025-06-27,/cold-rooms,Direct,China,1,0,1,0
2025-06-27,/cold-rooms,Organic Search,United Kingdom,3,1,1,1
2025-06-27,/cold-rooms-lp,Paid Search,United Kingdom,14,11,3,0
2025-06-27,/cold-stores,Organic Search,United Kingdom,1,0,1,0
2025-06-27,/cold-stores,Paid Search,United Kingdom,2,2,0,0
2025-06-27,/crs-cold-stores-0-0,Email,Ireland,2,0,2,0
2025-06-27,/enquiry,Email,Ireland,1,1,0,0
2025-06-27,/get-in-touch-with-crs,Paid Search,United Kingdom,3,1,2,0
2025-06-27,/industrial,Organic Search,United Kingdom,1,0,1,0
2025-06-27,/industry/dairy-cold-storage.html,Organic Search,India,1,0,1,0
2025-06-27,/industry/fish-cold-storage.html,Organic Search,Indonesia,1,0,1,0
2025-06-27,/industry/industries.html,Direct,United Kingdom,1,0,1,0
2025-06-27,/industry/industries.html,Paid Search,United Kingdom,3,3,0,0
2025-06-27,/knowledge/meat-cold-storage.html,Direct,Philippines,1,1,0,0
2025-06-27,/news/blast-freezing-eutectic-plates.html,Organic Search,Philippines,1,1,0,0
2025-06-27,/news/cold-storage-fruit-and-veg.html,Direct,India,1,1,0,0
2025-06-27,/news/cold-storage-fruit-and-veg.html,Organic Search,India,4,1,4,0
2025-06-27,/news/cold-storage-fruit-and-veg.html,Organic Search,United Kingdom,1,0,1,0
2025-06-27,/news/cold-storage-types.html,Organic Search,India,1,1,0,0
2025-06-27,/news/foods-kept-in-blast-freezers.html,Organic Search,United States,1,1,0,0
2025-06-27,/news/thawingwithcoldstorage.html,Organic Search,Hong Kong,1,0,1,0
2025-06-27,/news/vip-insulation.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/news/walk-in-freezer.html,Organic Search,Czechia,1,0,1,0
2025-06-27,/news/walk-in-fridge.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/news/what-blast-freezer.html,Direct,Thailand,1,1,0,0
2025-06-27,/news/what-blast-freezer.html,Organic Search,India,1,1,0,0
2025-06-27,/news/what-blast-freezer.html,Organic Search,Nepal,1,0,1,0
2025-06-27,/news/what-blast-freezer.html,Organic Search,Philippines,2,2,0,0
2025-06-27,/news/what-blast-freezer.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/refrigerated-container,Paid Search,United Kingdom,1,1,0,0
2025-06-27,/refrigerated-container/10ft.html,Organic Search,Tanzania,1,1,0,0
2025-06-27,/refrigerated-container/10ft.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/refrigerated-container/20ft.html,Organic Search,Nigeria,1,1,0,0
2025-06-27,/refrigerated-container/20ft.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/refrigerated-container/40ft.html,Organic Search,United Kingdom,1,1,0,0
2025-06-27,/refrigerated-container/grade-c-range.html,Direct,Malaysia,1,1,0,0
2025-06-27,/refrigerated-container/ultra-low.html,Organic Search,Netherlands,1,0,1,0
2025-06-27,/refrigerated-units-lp,Paid Search,United Kingdom,15,15,0,0
